State/UT,City,Latitude,Longitude,Elevation
Andhra Pradesh,Amaravati,16.57,80.36,38
Andhra Pradesh,Visakhapatnam,17.69,83.22,45
Arunachal Pradesh,Itanagar,27.1,93.61,296
Arunachal Pradesh,Tawang,27.59,91.86,3048
Assam,Dispur,26.14,91.75,60
Assam,Silchar,24.83,92.78,22
Bihar,Patna,25.59,85.15,53
Bihar,Gaya,24.79,85,111
Chhattisgarh,Raipur,21.25,81.63,298
Chhattisgarh,Jagdalpur,19.07,82.02,569
Gujarat,Gandhinagar,23.22,72.68,77
Gujarat,Bhuj,23.25,69.67,110
Haryana,Rohtak,28.9,76.57,214
Haryana,Panchkula,30.69,76.86,365
Punjab,Amritsar,31.63,74.87,234
Punjab,Bathinda,30.21,74.95,211
Himachal Pradesh,Shimla,31.1,77.17,2206
Himachal Pradesh,Dharamshala,32.22,76.32,1457
Jharkhand,Ranchi,23.36,85.33,651
Jharkhand,Jamshedpur,22.8,86.18,135
Karnataka,Bengaluru,12.98,77.58,920
Karnataka,Mangaluru,12.91,74.85,22
Kerala,Thiruvananthapuram,8.52,76.94,5
Kerala,Wayanad,11.68,76.13,700
Madhya Pradesh,Jabalpur,23.18,79.95,411
Madhya Pradesh,Indore,22.72,75.83,553
Maharashtra,Mumbai,19.08,72.88,14
Maharashtra,Nagpur,21.15,79.09,310
Odisha,Bhubaneswar,20.27,85.82,45
Odisha,Koraput,18.81,82.73,870
Rajasthan,Jaipur,26.92,75.78,431
Rajasthan,Jaisalmer,26.91,70.91,225
Tamil Nadu,Chennai,13.08,80.27,7
Tamil Nadu,Ooty,11.41,76.7,2240
Telangana,Hyderabad,17.36,78.48,536
Telangana,Adilabad,19.67,78.53,264
Uttar Pradesh,Lucknow,26.85,80.95,123
Uttar Pradesh,Varanasi,25.32,82.99,81
Uttarakhand,Dehradun,30.35,78.04,450
Uttarakhand,Joshimath,30.55,79.57,1890
West Bengal,Kolkata,22.57,88.36,9
West Bengal,Darjeeling,27.04,88.26,2042
Delhi (UT),New Delhi,28.61,77.21,214
Jammu & Kashmir (UT),Jammu,32.73,74.87,326
Jammu & Kashmir (UT),Srinagar,34.09,74.8,1585
Ladakh (UT),Leh,34.16,77.58,3500
Chandigarh (UT),Chandigarh,30.74,76.79,321
Puducherry (UT),Puducherry,11.94,79.83,3
Andaman & Nicobar (UT),Port Blair,11.67,92.73,16
Lakshadweep (UT),Kavaratti,10.57,72.64,2
Dadra & Nagar Haveli and Daman & Diu (UT),Daman,20.42,72.83,5
